Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,703.000000,711.000000,687.000000,691.450012,684.233948,6851035
2021-05-17,688.000000,698.500000,680.049988,687.150024,679.978821,6318234
2021-05-18,691.000000,695.849976,684.750000,690.799988,683.590637,4080423
2021-05-19,694.299988,706.750000,690.799988,703.400024,696.059204,7745431
2021-05-20,700.000000,701.650024,685.000000,686.849976,679.681885,6226376
2021-05-21,691.750000,694.500000,688.000000,690.400024,683.194885,3434231
2021-05-24,691.000000,698.400024,689.599976,690.950012,683.739136,3722957
2021-05-25,695.000000,697.400024,691.000000,696.099976,688.835388,2800233
2021-05-26,699.500000,706.150024,696.200012,703.799988,696.455017,6235460
2021-05-27,707.250000,709.750000,694.500000,699.500000,692.199890,9875654
2021-05-28,694.000000,694.500000,666.299988,669.750000,662.760376,28316552
2021-05-31,672.000000,675.700012,659.000000,668.299988,661.325500,13947126
2021-06-01,670.099976,673.299988,664.299988,671.049988,664.046814,6443084
2021-06-02,671.000000,678.099976,670.150024,677.450012,670.380066,4978457
2021-06-03,678.000000,680.849976,673.500000,675.500000,668.450378,3604574
2021-06-04,678.900024,679.250000,672.799988,673.950012,666.916565,3747803
2021-06-07,673.950012,677.799988,670.900024,675.349976,668.301880,2793705
2021-06-08,673.000000,679.950012,665.099976,678.750000,671.666443,5695920
2021-06-09,681.049988,684.700012,667.599976,672.849976,665.828003,4492551
2021-06-10,673.049988,681.000000,673.000000,676.049988,668.994568,3099864
2021-06-11,675.200012,686.349976,674.049988,681.299988,674.189819,3822099
2021-06-14,682.000000,683.700012,671.549988,677.099976,670.033691,3640962
2021-06-15,677.099976,681.400024,671.750000,673.200012,666.174377,3862284
2021-06-16,675.000000,680.500000,666.849976,668.549988,661.572876,4842448
2021-06-17,671.799988,673.549988,661.650024,665.049988,658.109375,2776147
2021-06-18,667.000000,673.000000,652.700012,668.500000,661.523438,4158743
2021-06-21,662.000000,674.799988,662.000000,671.349976,664.343628,2932177
2021-06-22,678.000000,680.250000,665.849976,666.799988,659.841125,4577152
2021-06-23,666.799988,672.349976,664.250000,665.250000,658.307373,2631031
2021-06-24,664.200012,671.000000,661.500000,664.799988,657.862000,3460776
2021-06-25,664.799988,677.400024,664.799988,672.250000,665.234314,3010243
2021-06-28,675.000000,679.900024,669.549988,676.299988,669.242004,3342385
2021-06-29,673.250000,681.500000,673.099976,677.599976,670.528442,2937766
2021-06-30,678.049988,683.450012,674.250000,675.450012,668.400879,3768943
2021-07-01,675.000000,685.799988,673.700012,684.150024,677.010071,4102748
2021-07-02,685.500000,689.500000,678.299988,681.250000,674.140320,5071894
2021-07-05,684.000000,684.950012,678.599976,680.200012,673.101318,1600769
2021-07-06,678.000000,683.000000,672.400024,673.250000,666.223877,2682423
2021-07-07,668.000000,682.000000,666.099976,680.099976,673.002319,2576763
2021-07-08,677.000000,680.900024,665.099976,666.900024,659.940125,2548016
2021-07-09,666.500000,672.299988,664.200012,667.900024,660.929688,1994075
2021-07-12,668.599976,672.849976,666.400024,668.549988,661.572876,1555035
2021-07-13,670.299988,689.349976,669.000000,683.000000,675.872131,7744032
2021-07-14,681.950012,692.400024,681.000000,685.950012,678.791382,2663467
2021-07-15,686.000000,688.200012,681.299988,683.000000,675.872131,1905193
2021-07-16,684.900024,695.650024,682.650024,688.599976,681.413635,3479357
2021-07-19,678.049988,691.500000,678.049988,689.250000,682.056885,1940882
2021-07-20,689.000000,691.599976,673.900024,676.450012,669.390442,2724983
2021-07-22,680.000000,688.200012,675.549988,687.299988,680.127197,2047831
2021-07-23,686.200012,698.950012,681.599976,694.000000,686.757324,3956261
2021-07-26,695.200012,705.000000,695.200012,703.400024,696.059204,4715053
2021-07-27,705.000000,705.700012,673.849976,688.299988,681.116760,5327355
2021-07-28,688.299988,691.950012,672.549988,687.799988,680.621948,3332667
2021-07-29,687.799988,705.950012,680.700012,703.000000,695.663330,4397443
2021-07-30,702.950012,783.750000,696.150024,773.950012,765.872986,35893710
2021-08-02,785.000000,801.900024,764.099976,775.000000,766.911987,18661462
2021-08-03,773.950012,804.349976,765.250000,794.799988,786.505310,14678219
2021-08-04,791.000000,797.900024,779.700012,785.750000,777.549805,5796169
2021-08-05,785.500000,794.400024,783.299988,786.150024,777.945679,5026619
2021-08-06,786.500000,796.450012,781.549988,785.200012,777.005493,4064324
2021-08-09,789.150024,793.000000,782.000000,788.799988,780.567932,2873586
2021-08-10,789.950012,798.799988,782.200012,793.349976,785.070435,5656020
2021-08-11,794.000000,795.000000,773.299988,779.549988,771.414490,4275776
2021-08-12,780.000000,781.250000,773.150024,778.650024,770.523926,2821380
2021-08-13,769.000000,788.500000,767.650024,778.299988,770.177551,4319920
2021-08-16,775.200012,783.000000,771.049988,780.799988,772.651428,2310304
2021-08-17,783.000000,793.200012,778.200012,784.150024,775.966492,5686055
2021-08-18,788.000000,791.400024,779.299988,782.900024,774.729492,4036305
2021-08-20,775.000000,784.450012,743.349976,761.150024,753.206482,6238261
2021-08-23,765.000000,770.000000,750.799988,759.349976,753.404907,2375417
2021-08-24,759.799988,777.950012,754.250000,771.349976,765.310974,2732537
2021-08-25,770.000000,776.000000,759.599976,769.049988,763.028992,2254852
2021-08-26,765.150024,771.099976,759.250000,760.549988,754.595520,1735864
2021-08-27,760.750000,777.000000,758.099976,771.799988,765.757446,2432862
2021-08-30,769.000000,794.950012,768.150024,787.200012,781.036926,3617125
2021-08-31,787.450012,801.000000,783.700012,794.049988,787.833252,7435465
2021-09-01,795.049988,803.900024,787.000000,788.500000,782.326721,2811619
2021-09-02,790.299988,795.650024,788.299988,789.950012,783.765381,2679549
2021-09-03,793.000000,797.200012,784.000000,789.400024,783.219727,2860730
2021-09-06,789.400024,793.099976,779.750000,784.250000,778.109985,4613445
2021-09-07,782.000000,783.000000,766.599976,769.900024,763.872375,3851664
2021-09-08,767.299988,778.950012,763.549988,777.450012,771.363281,2548562
2021-09-09,772.200012,782.250000,771.450012,776.299988,770.222229,2008287
2021-09-13,776.299988,783.000000,771.650024,780.299988,774.190918,1935832
