walletTransactionId,tollTransactionId,transactionType,transactionStatus,tagSequenceNumber,tagId,transactionAmount,vehicleRegistrationNo,vehicleClass,vehicleDescription,plazaName,plazaId,laneDirection,transactionDateTime,walletTime,vehicleGroupName
'20211208111212800110168310474136864,'0010012112081231298520,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,65,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Rajora Khurd,'330025,S,12/8/2021 12:31,12/8/2021 12:31,
'20211208111212800110168316274085538,'0010002112081116402992,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,20,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Ludhwai Toll Plaza,'163001,W,12/8/2021 11:12,12/8/2021 11:16,
'20211208111212800110168318374165006,'0010012112081044012711,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,45,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Amoli Toll Plaza,'163002,E,12/8/2021 10:41,12/8/2021 10:44,
'20211206111212800110168319273380651,'0010002112061127517197,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,45,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Amoli Toll Plaza,'163002,W,12/6/2021 11:25,12/6/2021 11:27,
'20211206111212800110168310873320245,'0010002112061058164300,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,20,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Ludhwai Toll Plaza,'163001,E,12/6/2021 10:54,12/6/2021 10:58,
'20211206111212800110168311773227927,'0010002112060920130765,Toll Transaction,SUCCESS,'130413246,34161FA820328E401AC9C7C0,65,MP09WG8791,VC-4,"Car/Jeep/Van, 0-7,500 Kgs",Rajora Khurd,'330025,N,12/6/2021 9:19,12/6/2021 9:20,
